MOVIE,TICKER,Trailer Date,Like,Dislike,Views,Comments,Polarity,Subjectivity,Polarity_Std,Subjectivity_Std,Previous_month_price_variation,Average Volume,Volatility,Period_price_Variation
Leatherface ,LGF,"[datetime.datetime(2017, 8, 8, 19, 1, 14)]",70253,15837,25748507,22763,0.14618510662177328,0.35615753647586984,0.3421708749098887,0.2862386477657816,0.025696749024250596,471513.63636363635,0.7123044970333492,0.09669481186456054
Blair Witch ,LGF,"[datetime.datetime(2016, 7, 23, 3, 15, 2)]",37642,1732,5359281,2783,0.026395928731233427,0.424707138629869,0.3185623075982171,0.32138970987551574,-0.025479893155057446,4402409.523809524,0.8064527968357474,-0.0054187978112264406
Power Rangers ,LGF,"[datetime.datetime(2017, 1, 19, 12, 54, 26)]",82217,5575,17985894,10449,0.06354241383847294,0.39458885750135786,0.3334870922349064,0.3431719564379777,0.038816942595164106,795880.0,0.42646174925719066,0.016666658897297855
Kin ,LGF,"[datetime.datetime(2018, 4, 26, 21, 50, 16)]",34574,1275,10382755,1717,0.14487687910590874,0.3257593115035549,0.3207402878305892,0.34350706722104524,-0.016006013051603395,623109.0909090909,0.30883721443842643,-0.07105783932831977
La La Land ,LGF,"[datetime.datetime(2016, 11, 3, 14, 0)]",15875,755,8799110,1568,0.1815821781002294,0.3802435209565794,0.36249458621777775,0.3631742747239461,-0.08781193064668931,2405817.3913043477,0.8667046927685211,0.0902543995058406
Boo A Madea Halloween ,LGF,"[datetime.datetime(2016, 7, 14, 23, 30, 20)]",53679,4621,14860977,5578,0.09529946343469867,0.25294828174108996,0.29983828792534,0.37698434454002056,-0.052159534140151495,4246690.909090909,0.9711145323691904,0.0073014051014171685
Patriots Day ,LGF,"[datetime.datetime(2016, 11, 14, 14, 54, 29)]",9080,731,2888172,716,0.023116692708426576,0.3754513025430364,0.2997601623796135,0.3296486610347643,0.266415561407313,2633519.0476190476,1.6028317554671367,0.3331913670909671
Uncle Drew ,LGF,"[datetime.datetime(2018, 4, 26, 16, 11, 33)]",14165,426,1582794,974,0.08832850123015698,0.35991220384688366,0.3336816818131683,0.3698653265807292,-0.016006013051603395,623109.0909090909,0.30883721443842643,-0.07105783932831977
Acts of Violence ,LGF,"[datetime.datetime(2017, 11, 30, 15, 32, 40)]",82473,1856,18633272,6882,0.035670866489832004,0.37937665782493374,0.3537255716575831,0.3471951554242807,0.1271536630975925,672304.5454545454,2.1045459121232337,0.14319901629655626
Backtrace ,LGF,"[datetime.datetime(2018, 11, 13, 17, 19, 32)]",49140,2771,14894843,2108,0.1171109221009487,0.37299438150501985,0.2725983405528923,0.37032701121299794,-0.117647097270279,993272.7272727273,1.5943869489924474,-0.36865901557006536
Deepwater Horizon ,LGF,"[datetime.datetime(2016, 5, 26, 16, 0, 9)]",26625,2443,7071331,1111,0.1135260073759809,0.3549969740515292,0.3721436198650461,0.36864999551385236,0.051954482283726795,2459765.217391304,0.9671461100486652,0.020146474061228055
Gods of Egypt ,LGF,"[datetime.datetime(2015, 11, 17, 17, 28, 59)]",14443,1387,17261188,1257,0.02488626237470286,0.37870503210061246,0.3339145806722906,0.3337906558266211,-0.06735742050595812,1335231.8181818181,0.919821411473659,-0.2163091254760678
Middle School The Worst Years of My Life ,LGF,"[datetime.datetime(2016, 6, 16, 19, 21, 35)]",34638,1682,8506010,4806,0.0952886976484553,0.33253257442146333,0.32755774413173266,0.34163500017453613,0.06946533419024438,2656622.727272727,1.3405237894682573,0.004257860433819106
The Shack ,LGF,"[datetime.datetime(2016, 12, 1, 17, 18, 14)]",37504,1402,9289269,3773,0.07393306725217835,0.3926780848907997,0.34458107139089766,0.34601412011115373,0.12655090758775295,3086468.1818181816,1.3543189817823191,0.297095120807048
Ben Is Back ,LGF,"[datetime.datetime(2018, 10, 11, 14, 16, 51)]",13629,1171,1988334,1011,0.10176020408163265,0.3188265306122449,0.286144266573508,0.3138392942279219,-0.028997430268006514,854700.0,0.9720116028565335,-0.09767728888888898
Jigsaw ,LGF,"[datetime.datetime(2017, 7, 20, 15, 50)]",4472,1243,1361705,1206,0.041442406968878055,0.35873694485818547,0.3102673660828505,0.35158517518071264,0.10860574782583468,411104.54545454547,0.7571037175543824,0.06109976480538442
