Date,Open,High,Low,Adj Close,Volume,SMAVG (15)
26/4/2013,56.0347,56.0519,55.5855,55.5855,9910,28464
25/4/2013,56.8898,56.8898,55.6805,55.9828,27790,31157
24/4/2013,57.339,57.5463,56.3543,56.3975,53673,29948
23/4/2013,58.1251,58.1251,56.6134,57.1317,16993,26877
22/4/2013,57.4945,58.1078,57.0626,57.8141,26937,26341
19/4/2013,56.337,57.5797,56.337,57.5204,7148,24958
18/4/2013,57.1835,57.1835,56.3975,56.6739,9468,24893
17/4/2013,57.1144,57.244,56.3975,56.9935,112796,26380
16/4/2013,56.0087,57.4945,55.9742,57.4858,53004,19501
15/4/2013,57.4772,57.5377,55.646,55.646,16811,16603
12/4/2013,57.4945,57.9264,57.339,57.8141,6238,16386
11/4/2013,57.4081,58.1078,57.3995,57.6759,33463,16024
10/4/2013,56.5789,57.4081,56.5789,57.2526,28458,14117
9/4/2013,57.244,57.7363,56.2679,56.2679,5927,13279
8/4/2013,55.5596,57.2785,55.525,57.0108,18343,13628
5/4/2013,54.2293,55.2054,53.8752,55.1104,50303,16507
4/4/2013,54.4885,55.2399,54.4465,55.1536,9661,15850
3/4/2013,54.5489,55.1018,54.1239,54.333,7612,15720
2/4/2013,54.5317,54.9808,54.1861,54.4712,8943,15622
1/4/2013,54.5489,54.5489,53.6419,54.117,6191,15617
28/3/2013,54.0479,54.7649,54.0479,54.4712,6175,17025
27/3/2013,54.1775,54.1775,53.3137,53.8924,31771,17360
26/3/2013,54.5921,54.6353,54.0134,54.3546,9619,16128
25/3/2013,55.43,55.4732,54.1084,54.5921,9524,16095
22/3/2013,54.8598,55.2832,54.5921,54.9722,13568,15796
21/3/2013,54.9376,54.9376,54.3675,54.3675,800,16090
20/3/2013,54.6439,55.0413,54.3105,54.9981,4865,17729
19/3/2013,54.8944,55.0672,53.9961,54.4194,15879,18279
18/3/2013,54.9722,55.7237,54.9381,55.0672,11172,19127
15/3/2013,56.5789,57.2613,55.4732,55.4991,61518,19618
14/3/2013,56.147,57.6413,55.9569,57.3995,40458,16426
13/3/2013,55.0931,55.7237,55.0154,55.6675,7700,14765
12/3/2013,55.4679,55.4679,54.7464,55.2616,6143,15218
11/3/2013,55.382,55.511,55.1756,55.4422,8878,15576
8/3/2013,54.8401,55.6916,54.3155,55.511,27303,15890
7/3/2013,54.1176,54.6508,54.1176,54.5133,11198,14629
6/3/2013,54.4789,54.8315,54.109,54.109,13300,15353
5/3/2013,53.7564,55.2012,53.7564,54.4531,9113,15007
4/3/2013,53.4084,53.7039,53.2577,53.4725,5039,14989
1/3/2013,51.9846,53.6704,51.9846,53.5844,17989,15137
28/2/2013,51.9932,52.9393,51.9932,52.4748,25382,15771
27/2/2013,51.5975,52.5263,51.5975,52.062,13118,15566
26/2/2013,51.7868,52.0792,51.4341,51.6319,28600,16971
25/2/2013,53.2661,53.2661,51.6749,51.6921,18535,16388
22/2/2013,52.449,53.1715,52.0706,53.1715,13628,17363
21/2/2013,52.4662,52.6725,52.0362,52.234,15555,17677
20/2/2013,54.109,54.109,52.7329,52.8533,14486,19227
19/2/2013,53.4553,54.3585,53.4553,54.0144,11513,19045
15/2/2013,54.066,54.066,53.2231,53.4553,13594,19748
14/2/2013,53.1285,53.9972,52.6383,53.8553,8389,21751
13/2/2013,53.3607,53.6188,52.8447,53.3693,22052,24597
12/2/2013,53.3779,53.5328,53.1801,53.1801,8110,24669
11/2/2013,53.55,53.5586,53.1887,53.464,8850,27411
8/2/2013,53.4984,54.0574,52.8963,53.4725,7259,27964
7/2/2013,52.7415,53.1245,52.277,52.8877,27489,28927
6/2/2013,52.8619,53.464,52.5436,52.9909,22317,28689
5/2/2013,53.0941,53.3822,52.7501,53.0941,34186,28766
4/2/2013,53.5414,53.5414,52.5522,52.5522,19852,28586
1/2/2013,54.4101,54.4101,53.5758,53.5844,33172,30133
31/1/2013,53.7994,54.7369,53.4123,54.3413,18326,45399
30/1/2013,52.9221,53.851,52.6383,53.4812,38813,45462
29/1/2013,53.1543,53.5156,52.621,52.8791,11753,43191
28/1/2013,53.4725,53.6789,53.0167,53.1285,22057,44271
25/1/2013,53.1199,53.9972,53.0339,53.1629,43636,44517
24/1/2013,53.0253,53.5758,52.621,52.8791,51080,42764
23/1/2013,53.3263,53.593,52.5694,53.2317,23129,43867
22/1/2013,52.406,53.1371,51.8642,53.0253,49240,44505
18/1/2013,51.7265,52.1566,51.5201,51.8298,17156,42602
17/1/2013,51.5201,52.0362,51.1589,51.6921,21695,43296
16/1/2013,51.5029,51.6147,51.1847,51.2707,23927,42216
15/1/2013,51.2793,51.7179,50.9524,51.7179,23471,41242
14/1/2013,51.6147,51.7437,50.6428,51.3997,31478,42513
11/1/2013,51.8212,52.0448,51.5029,51.6749,43064,41006
10/1/2013,51.9502,51.9502,51.0901,51.8126,262162,39973
9/1/2013,49.8343,50.9352,49.8257,50.5396,19274,24529
8/1/2013,49.0688,49.7655,49.0688,49.7655,4747,25364
7/1/2013,49.6623,50.0665,49.0516,49.172,27955,26608
4/1/2013,49.9117,50.6342,49.4387,50.2609,25736,26049
3/1/2013,49.5764,50.3934,49.5591,49.6881,17352,32548
2/1/2013,48.2173,49.8085,47.4776,49.6537,67626,34442
31/12/2012,45.6628,46.6777,45.6628,46.6777,32697,32860
28/12/2012,45.9467,46.0671,45.6284,45.7746,20692,33769
27/12/2012,45.7574,46.1617,45.0435,46.0671,27562,34142
26/12/2012,46.0757,46.2305,45.7316,45.7402,5495,33386
24/12/2012,45.9811,46.3423,45.9811,46.1273,9318,34261
21/12/2012,45.6026,46.2391,45.5252,46.0155,42541,35261
20/12/2012,46.4713,46.6804,46.4053,46.5487,8876,34862
19/12/2012,46.7552,46.996,46.4111,46.4455,27564,56279
18/12/2012,46.3509,46.8756,46.0929,46.7294,30499,57398
17/12/2012,46.4455,46.5573,46.2133,46.4369,31805,55961
14/12/2012,46.0585,46.6089,45.9467,46.1703,23407,54915
13/12/2012,47.1508,47.2864,46.1531,46.2993,19558,54510
12/12/2012,47.2884,47.6583,46.8584,47.0734,123222,56036
11/12/2012,47.0348,47.3677,46.4871,47.0519,45771,49742
10/12/2012,46.41,47.1974,46.1875,46.8208,43888,48452
7/12/2012,45.7682,46.5213,45.4772,46.333,46344,46947
6/12/2012,44.2962,45.4344,44.2962,45.3061,26276,45765
5/12/2012,44.5187,44.8525,44.0138,44.5187,16221,45024
4/12/2012,43.9025,44.4075,43.9025,44.339,18624,44958
3/12/2012,45.0151,45.1435,44.0309,44.1336,24325,44847
30/11/2012,44.4075,44.8011,44.2877,44.7327,36555,44590
29/11/2012,44.1251,44.5358,43.817,44.3818,330130,42571
28/11/2012,43.4233,44.0908,43.1581,44.0395,44346,22910
27/11/2012,43.5859,44.0737,43.5859,43.6116,8949,21418
26/11/2012,43.5945,43.6116,43.2265,43.6116,16109,24903
23/11/2012,42.9612,43.6287,42.9612,43.6116,17334,24994
21/11/2012,42.7814,43.1152,42.4477,42.9355,42443,26433
20/11/2012,43.5089,43.894,42.1482,43.2008,28822,25562
19/11/2012,43.5345,43.971,43.2179,43.5345,26411,25518
16/11/2012,42.8756,42.944,42.2594,42.7643,21318,24455
15/11/2012,42.131,43.4404,42.0797,42.7215,28609,25004
14/11/2012,42.1054,42.3963,41.1812,41.6859,15171,24050
13/11/2012,42.3279,42.9355,42.2423,42.3364,15225,24628
12/11/2012,42.7558,42.8328,42.2312,42.5932,16958,24839
9/11/2012,42.6702,43.004,42.2509,42.636,20471,25030
8/11/2012,43.2778,43.7057,42.7814,42.7814,6274,24522
7/11/2012,43.4319,43.6544,42.5846,43.5089,35208,25864
6/11/2012,43.9282,44.0309,43.4661,43.7742,21970,26390
5/11/2012,44.0224,44.279,43.3548,43.68,61216,25940
2/11/2012,44.8183,45.1349,44.0224,44.0224,17483,23475
1/11/2012,44.5273,45.3744,44.5016,44.9466,38911,25965
31/10/2012,45.443,45.443,43.8512,44.3904,29390,25895
26/10/2012,46.5042,46.5042,44.981,45.4173,28159,29600
25/10/2012,46.8722,46.9406,45.8966,46.179,10467,31329
24/10/2012,46.5042,46.8551,46.042,46.5812,29550,32444
23/10/2012,47.3257,47.3257,46.2731,46.2731,14301,32091
22/10/2012,47.4712,47.8391,47.2145,47.6595,23838,32596
19/10/2012,47.8392,47.9762,46.8551,47.2915,18386,31412
18/10/2012,47.8478,48.2928,47.5997,47.9419,19832,32066
17/10/2012,47.7109,47.9683,47.5311,47.8991,12847,31455
16/10/2012,46.9492,47.9419,46.9492,47.6837,26395,31474
15/10/2012,47.3429,47.3429,46.5983,46.8379,43110,31949
12/10/2012,47.3257,47.8136,46.9354,47.0005,15211,30890
11/10/2012,47.6082,48.2158,47.0691,47.1974,24245,30801
10/10/2012,47.4969,48.1186,46.8551,47.7536,54832,30067
9/10/2012,48.8833,49.0373,48.4212,48.5838,37867,27812
8/10/2012,48.695,49.2599,48.4297,49.0716,84962,25642
