Date,Open,High,Low,Close,Volume,SMAVG (15)
9/5/2019,13.32,13.57,13.16,13.49,546934,572158
8/5/2019,13.73,13.86,13.325,13.39,535567,564029
7/5/2019,13.95,14.09,13.74,13.78,463716,562621
6/5/2019,13.92,14.21,13.7527,14.05,401914,588216
3/5/2019,13.88,14.23,13.65,14.18,693274,607354
2/5/2019,14,14.0044,13.2299,13.81,1194105,595742
1/5/2019,14.4,14.58,13.98,13.98,855637,547399
30/4/2019,15,15.02,14.44,14.59,677344,512541
29/4/2019,15.03,15.35,14.9505,15.05,416197,511786
26/4/2019,15.01,15.2773,14.95,15.24,368118,528407
25/4/2019,15.31,15.31,14.95,15.08,436702,553384
24/4/2019,15.36,15.525,15.16,15.29,451658,643945
23/4/2019,15.48,15.62,15.19,15.32,713754,642431
22/4/2019,16.04,16.04,15.395,15.45,469468,699662
18/4/2019,15.9,16.07,15.81,15.91,357986,692576
17/4/2019,16.02,16.075,15.735,15.81,424998,693584
16/4/2019,16.08,16.16,15.96,16.01,514443,700411
15/4/2019,16.5,16.59,15.98,16.03,847639,698258
12/4/2019,17.25,17.39,16.52,16.58,688984,702780
11/4/2019,16.9,17.28,16.9,17.09,519092,702070
10/4/2019,16.46,16.85,16.4,16.8,468972,697617
9/4/2019,16.5,16.5,16.16,16.4,332763,699749
8/4/2019,16.26,16.72,16.21,16.47,666021,726491
5/4/2019,16.15,16.36,16.12,16.25,665501,710576
4/4/2019,15.92,16.49,15.91,16.11,742773,702319
3/4/2019,15.66,15.98,15.63,15.94,1795127,681999
2/4/2019,15.63,15.75,15.435,15.61,428946,603283
1/4/2019,15.8,15.97,15.52,15.72,1572218,637809
29/3/2019,15.77,15.77,15.45,15.64,363170,570293
28/3/2019,15.82,15.91,15.64,15.69,373115,595599
27/3/2019,15.5,15.92,15.43,15.75,527396,663624
26/3/2019,15.07,15.53,15.01,15.5,482147,866678
25/3/2019,15.16,15.22,14.62,14.97,915482,882305
22/3/2019,15.75,15.96,15.06,15.14,678333,871637
21/3/2019,15.35,15.895,15.32,15.87,452297,875381
20/3/2019,15.56,15.645,15.22,15.46,500943,886619
19/3/2019,16.1,16.13,15.585,15.65,733896,906690
18/3/2019,16.15,16.22,15.975,16.06,427300,938559
15/3/2019,15.99,16.23,15.88,16.06,541644,957847
14/3/2019,15.73,16.03,15.73,15.89,437976,958977
13/3/2019,15.96,16.13,15.67,15.8,614375,971756
12/3/2019,15.76,16.01,15.61,15.8,946846,981081
11/3/2019,15.78,15.86,15.53,15.76,559476,976025
8/3/2019,15.91,16.32,15.49,15.7,742760,974628
7/3/2019,16.41,16.5699,16.12,16.4,1393484,957237
6/3/2019,15.82,16.46,15.8,16.44,3573214,891916
5/3/2019,15.78,15.88,15.73,15.8,716549,705149
4/3/2019,15.61,15.81,15.51,15.75,755464,752237
1/3/2019,15.52,15.79,15.48,15.56,734487,782394
28/2/2019,15.49,15.58,15.23,15.45,620868,831543
27/2/2019,15.16,15.52,15.15,15.4,802017,863499
26/2/2019,14.83,15.31,14.83,15.25,1211924,926209
25/2/2019,15.39,15.44,14.9,14.92,716620,955392
22/2/2019,15.52,15.6,15.1014,15.24,558592,981984
21/2/2019,15.42,15.55,15.15,15.35,629661,990283
20/2/2019,15.36,15.82,15.34,15.47,754247,1001543
19/2/2019,15.77,15.86,15.37,15.39,871008,993194
15/2/2019,15.81,15.87,15.6,15.85,538530,974299
14/2/2019,15.81,15.885,15.55,15.65,481886,993501
13/2/2019,15.85,16.14,15.62,15.72,413674,994644
12/2/2019,15.83,16.125,15.7,15.81,771713,1005168
11/2/2019,16.54,16.7,15.64,15.69,1422865,990969
8/2/2019,16.29,16.66,15.67,16.57,1207816,951408
7/2/2019,16.69,16.69,16.36,16.4,1471724,944563
