Video ID,Title,Comment,publishedAt
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,"this is awesome
I love this gamae",2016-07-31T16:54:29.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,Precommand and get 10 normal supply drop to get the X-Swing,2016-07-31T12:32:26.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,how about the second ghosts game not again a unrealistic game,2016-07-31T00:34:20.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,Music that Starts at 35?,2016-07-30T23:53:13.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,I was disliking this with my 10000 accounts when I was half way the dislike button broke,2016-07-30T18:33:18.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,i love call of duty infinti warfare,2016-07-29T23:06:59.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,Awful... Just awful...,2016-07-29T17:04:09.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,I will play this only if price is back,2016-07-29T10:10:20.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,"The image might be black ops 1 zombies theater map. The popcorn, red carpet, and the movie strip",2016-07-28T22:49:37.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,plz make an xbox one only cod,2016-07-28T18:52:37.000Z
