,Classifier,Alpha Value,Cross_Val folds,Layer Structure,Prediction Period,Parsing Day range,Score Std,Score average
140,MLPClassifier,0.1,3,"(20, 50, 10)",5,3,0.10390995578655893,0.5428571428571428
141,MLPClassifier,0.1,3,"(20, 50, 20)",5,3,0.1083142317016358,0.5442857142857144
142,MLPClassifier,0.1,3,"(20, 50, 30)",5,3,0.10873004286866726,0.5666666666666667
143,MLPClassifier,0.1,3,"(20, 50, 40)",5,3,0.12020579481279582,0.5176190476190476
144,MLPClassifier,0.1,3,"(20, 50, 50)",5,3,0.0917059285120817,0.5561904761904762
145,MLPClassifier,0.1,3,"(20, 50, 60)",5,3,0.07322812490187082,0.5295238095238095
146,MLPClassifier,0.1,3,"(20, 50, 70)",5,3,0.07003724308895327,0.5161904761904762
147,MLPClassifier,0.1,3,"(20, 50, 80)",5,3,0.08716237096112421,0.5428571428571428
148,MLPClassifier,0.1,3,"(20, 50, 90)",5,3,0.0917059285120817,0.5561904761904762
149,MLPClassifier,0.1,3,"(20, 50, 100)",5,3,0.11775103448568502,0.5442857142857144
150,MLPClassifier,0.1,3,"(20, 60, 10)",5,3,0.0917059285120817,0.5561904761904762
151,MLPClassifier,0.1,3,"(20, 60, 20)",5,3,0.056940116532619586,0.5414285714285715
152,MLPClassifier,0.1,3,"(20, 60, 30)",5,3,0.07183061456098379,0.5547619047619049
153,MLPClassifier,0.1,3,"(20, 60, 40)",5,3,0.07126011882636316,0.490952380952381
154,MLPClassifier,0.1,3,"(20, 60, 50)",5,3,0.08971863299547071,0.5176190476190476
155,MLPClassifier,0.1,3,"(20, 60, 60)",5,3,0.024944382578492966,0.5266666666666667
156,MLPClassifier,0.1,3,"(20, 60, 70)",5,3,0.07322812490187082,0.5295238095238095
157,MLPClassifier,0.1,3,"(20, 60, 80)",5,3,0.0976480793067137,0.530952380952381
158,MLPClassifier,0.1,3,"(20, 60, 90)",5,3,0.05407645549172723,0.4895238095238095
159,MLPClassifier,0.1,3,"(20, 60, 100)",5,3,0.05570003887849413,0.5280952380952381
160,MLPClassifier,0.1,3,"(20, 70, 10)",5,3,0.10845440644180392,0.5295238095238095
161,MLPClassifier,0.1,3,"(20, 70, 20)",5,3,0.07322812490187082,0.5295238095238095
162,MLPClassifier,0.1,3,"(20, 70, 30)",5,3,0.07322812490187082,0.5295238095238095
163,MLPClassifier,0.1,3,"(20, 70, 40)",5,3,0.115807330806304,0.4923809523809524
164,MLPClassifier,0.1,3,"(20, 70, 50)",5,3,0.0976480793067137,0.530952380952381
165,MLPClassifier,0.1,3,"(20, 70, 60)",5,3,0.08971863299547071,0.5176190476190476
166,MLPClassifier,0.1,3,"(20, 70, 70)",5,3,0.086577662303722,0.5295238095238095
167,MLPClassifier,0.1,3,"(20, 70, 80)",5,3,0.086577662303722,0.5295238095238095
168,MLPClassifier,0.1,3,"(20, 70, 90)",5,3,0.10488304684141873,0.5695238095238095
169,MLPClassifier,0.1,3,"(20, 70, 100)",5,3,0.08971863299547071,0.5176190476190476
170,MLPClassifier,0.1,3,"(20, 80, 10)",5,3,0.10090969447931798,0.5176190476190476
171,MLPClassifier,0.1,3,"(20, 80, 20)",5,3,0.08716237096112421,0.5428571428571428
172,MLPClassifier,0.1,3,"(20, 80, 30)",5,3,0.10234661661223976,0.5042857142857143
173,MLPClassifier,0.1,3,"(20, 80, 40)",5,3,0.09285592184789411,0.5933333333333334
174,MLPClassifier,0.1,3,"(20, 80, 50)",5,3,0.0733178709734648,0.5414285714285715
175,MLPClassifier,0.1,3,"(20, 80, 60)",5,3,0.04512014698999877,0.5280952380952382
176,MLPClassifier,0.1,3,"(20, 80, 70)",5,3,0.08055363982396384,0.5666666666666668
177,MLPClassifier,0.1,3,"(20, 80, 80)",5,3,0.08716237096112421,0.5428571428571428
178,MLPClassifier,0.1,3,"(20, 80, 90)",5,3,0.07519890480217588,0.5680952380952381
179,MLPClassifier,0.1,3,"(20, 80, 100)",5,3,0.07183061456098379,0.5547619047619049
180,MLPClassifier,0.1,3,"(20, 90, 10)",5,3,0.043099841900894345,0.4895238095238095
181,MLPClassifier,0.1,3,"(20, 90, 20)",5,3,0.09819458676906942,0.5414285714285715
182,MLPClassifier,0.1,3,"(20, 90, 30)",5,3,0.0882508278532278,0.5680952380952382
183,MLPClassifier,0.1,3,"(20, 90, 40)",5,3,0.05734883511361752,0.5666666666666668
184,MLPClassifier,0.1,3,"(20, 90, 50)",5,3,0.1083142317016358,0.5442857142857144
185,MLPClassifier,0.1,3,"(20, 90, 60)",5,3,0.08716237096112421,0.5428571428571428
186,MLPClassifier,0.1,3,"(20, 90, 70)",5,3,0.086577662303722,0.5295238095238095
187,MLPClassifier,0.1,3,"(20, 90, 80)",5,3,0.10390995578655893,0.5428571428571428
188,MLPClassifier,0.1,3,"(20, 90, 90)",5,3,0.13356612331370613,0.5576190476190476
189,MLPClassifier,0.1,3,"(20, 90, 100)",5,3,0.10090969447931798,0.5176190476190476
190,MLPClassifier,0.1,3,"(20, 100, 10)",5,3,0.10390995578655893,0.5428571428571428
191,MLPClassifier,0.1,3,"(20, 100, 20)",5,3,0.06397632782163999,0.5547619047619047
192,MLPClassifier,0.1,3,"(20, 100, 30)",5,3,0.07182745765700878,0.5028571428571428
193,MLPClassifier,0.1,3,"(20, 100, 40)",5,3,0.07183061456098379,0.5547619047619049
194,MLPClassifier,0.1,3,"(20, 100, 50)",5,3,0.07182745765700878,0.5028571428571428
195,MLPClassifier,0.1,3,"(20, 100, 60)",5,3,0.10390995578655893,0.5428571428571428
196,MLPClassifier,0.1,3,"(20, 100, 70)",5,3,0.07182745765700878,0.5028571428571428
197,MLPClassifier,0.1,3,"(20, 100, 80)",5,3,0.07322812490187082,0.5295238095238095
