publish_time,video_ID,Title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,ProductionFirm,Movie,Ticker
2015-04-19T18:56:55.000Z,_rRoD28-WgU,Fantastic Four | Official Trailer [HD] | 20th Century FOX,12163648,43700,9166,0,7467,20th Century FOX,Fantastic Four,
2016-09-27T13:03:14.000Z,a2m6Jvp0bUw,Fences Teaser Trailer (2016) - Paramount Pictures,4703369,14723,406,0,1677,Paramount,Fences,
2017-06-14T13:00:16.000Z,HBXVM7oUPVk,Ferdinand | Official Trailer [HD] | Fox Family Entertainment,6708700,10425,1154,0,876,20th Century FOX,Ferdinand,
2016-05-24T13:18:08.000Z,0tkLUap7oGQ,"Finding Dory Official Trailer #2 (2016) - Ellen DeGeneres, Albert Brooks Movie HD",5182740,23873,901,0,1614,Disney,Finding Dory,
2018-03-29T13:00:04.000Z,hCF5Y8dQpR4,First Reformed | Official Trailer HD | A24,5687905,10577,558,0,1056,A24,First Reformed,
2016-04-27T15:18:38.000Z,HszfdNS0JSc,"Florence Foster Jenkins Official Trailer #1 (2016) - Meryl Streep, Hugh Grant Movie HD",1992350,7257,277,0,585,Paramount,Florence Foster Jenkins ,
2012-03-02T19:39:37.000Z,XBfcGLBJ2Uc,Frankenweenie Trailer,1807517,6014,254,0,1213,Disney,Frankenweenie ,
2016-11-13T10:47:41.000Z,G4VmJcZR0Yg,Ghost in the Shell Official Trailer 1 (2017) - Scarlett Johansson Movie,32458560,174392,21971,0,27840,Paramount,Ghost in the Shell ,
2016-07-08T16:22:12.000Z,QS8pgKoibx0,Goat Official Trailer 1 (2016) - Nick Jonas Movie,3409043,13769,3016,0,1473,Paramount,Goat,
2016-12-03T23:03:40.000Z,dW1BIid8Osg,Guardians of the Galaxy Vol. 2 Teaser Trailer,21356615,244644,3993,0,17557,Marvel,Guardians of the Galaxy Vol. 2 ,
2015-10-09T15:00:05.000Z,kMqeoW3XRa0,"Hail, Caesar! - Official Trailer (HD)",10825087,22545,1985,0,2242,Universal,"Hail, Caesar",
2014-06-03T17:58:37.000Z,1L41RWI1oUg,"Hercules Official International Trailer #1 (2014) - Dwayne Johnson, Ian McShane Movie HD",1855598,5551,317,0,509,Paramount,Hercules,
2016-08-15T02:22:33.000Z,RK8xHq6dfAo,Hidden Figures | Teaser Trailer [HD] | 20th Century FOX,6981544,46680,2998,0,4932,20th Century FOX,Hidden Figures ,
2015-06-24T16:59:59.000Z,k7X8fCUMMVM,Hitman: Agent 47 | Official Trailer 2 [HD] | 20th Century FOX,4966647,13910,1535,0,1541,20th Century FOX,Hitman: Agent 47 ,
2014-12-10T19:52:55.000Z,BNJ-UxlKXGY,"Hot Tub Time Machine 2 Official Trailer #1 (2015) - Rob Corddry, Adam Scott Movie HD",2850671,6915,449,0,545,Paramount,Hot Tub Time Machine 2,
2016-03-01T15:41:31.000Z,HyLquKn3Swc,"Ice Age: Collision Course Official Trailer #2 (2016) - Ray Romano, John Leguizamo Animated Movie HD",12723692,35981,3092,0,4620,20th Century FOX,Ice Age: Collision Course ,
2018-04-13T12:00:05.000Z,i5qOzqD9Rms,Incredibles 2 Official Trailer,128862297,428708,24995,0,28132,Disney,Incredibles 2,
2015-12-13T20:39:47.000Z,LbduDRH2m2M,Independence Day: Resurgence | Official Trailer [HD] | 20th Century FOX,26856839,96135,6215,0,14977,20th Century FOX,Independence Day: Resurgence ,
2014-12-11T14:00:53.000Z,yRUAzGQ3nSY,Inside Out - Official US Trailer,8831774,20155,1957,0,1174,Disney,Inside Out,
2018-09-05T18:59:17.000Z,IUfZq3DUd3Y,Instant Family (2018) - Official Trailer - Paramount Pictures,16283942,50080,1527,0,2316,Paramount,Instant Family ,
2014-05-16T17:00:22.000Z,zSWdZVtXT7E,Interstellar - Trailer - Official Warner Bros. UK,27995510,95760,3645,0,5791,Paramount,Interstellar,
2014-05-16T17:00:22.000Z,zSWdZVtXT7E,Interstellar - Trailer - Official Warner Bros. UK,27995510,95760,3645,0,5791,Warner Bros,Interstellar,
2014-11-06T08:01:04.000Z,2Byk9Is3TjY,Into The Woods Trailer - Now Playing In Theaters!,12522803,38603,2308,0,3292,Disney,Into The Woods,
2009-12-07T23:43:44.000Z,8hYlB38asDY,Iron Man - Trailer [HD],3963742,21010,478,0,3201,Marvel,Iron Man,
2013-04-12T20:25:18.000Z,BoohRoVA9WQ,Iron Man 2 Official Trailer #1 (2010) - Marvel Movie HD,1385019,6286,234,0,371,Marvel,Iron Man 2,
2016-06-22T13:14:08.000Z,aRwrdbcAh2s,"Jack Reacher: Never Go Back Official Trailer #1 (2016) - Tom Cruise, Cobie Smulders Movie HD",11521382,41075,1258,0,3338,Paramount,Jack Reacher: Never Go Back ,
2016-11-14T17:54:09.000Z,g9pW3B8Ycc4,JACKIE | OFFICIAL TRAILER | FOX Searchlight,4433991,14566,443,0,1420,20th Century FOX,JACKIE ,
2016-10-08T19:15:30.000Z,XGk2EfbD_Ps,John Wick: Chapter 2 Official Trailer #1 (2017) Keanu Reeves Action Movie HD,18633272,82473,1856,0,6882,Lionsgate,John Wick: Chapter 2,
2015-07-15T12:59:45.000Z,SN4MLMHET7w,JOY | Teaser Trailer [HD] | 20th Century FOX,9268817,19866,2602,0,2251,20th Century FOX,JOY ,
2017-12-08T01:44:25.000Z,vn9mMeWcgoM,Jurassic World: Fallen Kingdom - Official Trailer [HD],63567542,633307,34431,0,70032,Universal,Jurassic World: Fallen Kingdom,
2017-03-25T15:00:01.000Z,3cxixDgHUYw,JUSTICE LEAGUE - Official Trailer 1,36299354,417350,27522,0,64435,Marvel,JUSTICE LEAGUE,
2017-03-25T15:00:01.000Z,3cxixDgHUYw,JUSTICE LEAGUE - Official Trailer 1,36299354,417350,27522,0,64435,Warner Bros,JUSTICE LEAGUE,
2016-06-22T13:28:36.000Z,nPfYXXg65qA,Keeping Up With the Joneses | Official Trailer [HD] | 20th Century FOX,4616633,9657,604,0,799,20th Century FOX,Keeping Up With the Joneses ,
2017-04-25T03:30:14.000Z,6Nxc-3WpMbg,Kingsman: The Golden Circle | Official Trailer [HD] | 20th Century FOX,23905833,199838,5395,0,10335,20th Century FOX,Kingsman: The Golden Circle ,
2014-09-23T00:25:15.000Z,kl8F-8tR8to,Kingsman: The Secret Service | Official Trailer 2 [HD] | 20th Century FOX,18030791,56923,1925,0,3195,20th Century FOX,Kingsman: The Secret Service ,
2016-08-23T13:20:05.000Z,DBUXcNTjviI,La La Land (2016 Movie) Official Teaser Trailer – &#39;Audition (The Fools Who Dream)&#39;,5653944,24758,850,0,1803,Lionsgate,La La Land,
2017-09-05T13:00:06.000Z,cNi_HC839Wo,Lady Bird | Official Trailer HD | A24,15544278,88248,2850,0,3281,A24,Lady Bird,
2018-04-26T16:27:01.000Z,_07ktacEGo8,LEAVE NO TRACE | Official Trailer,4509274,8134,441,0,1001,First Look Medai,LEAVE NO TRACE,
2018-02-05T23:30:51.000Z,T1B1CxmAXLk,LIFE OF THE PARTY - Official Trailer 1,6460523,17016,2617,0,1196,Warner Bros,LIFE OF THE PARTY,
2016-10-20T12:59:00.000Z,Div0iP65aZo,Logan | Official Trailer [HD] | 20th Century FOX,30569818,267430,4470,0,32818,20th Century FOX,Logan ,
2018-01-16T14:00:26.000Z,E0cbWdlQg_8,"Love, Simon | Official Trailer 2 [HD] | 20th Century FOX",28749181,145254,7988,0,10620,20th Century FOX,"Love, Simon ",
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,3970505,21395,809,0,2623,RLJE,MANDY,
2010-11-22T22:08:06.000Z,yBFUAW6jC_M,MARS NEEDS MOMS Trailer #1,1063675,2138,597,0,244,Disney,MARS NEEDS MOMS,
2018-01-30T13:55:41.000Z,8_rTIAOohas,Marvel Studios&#39; Ant-Man and the Wasp - Official Trailer #1,16841315,350626,7053,0,26439,Marvel,Ant-Man and the Wasp,
2018-12-07T13:01:21.000Z,hA6hldpSTF8,Marvel Studios&#39; Avengers - Official Trailer,99143403,3263027,50883,0,296671,Marvel,Avengers,
2017-10-16T13:00:07.000Z,xjDjIWPwcPU,Marvel Studios&#39; Black Panther - Official Trailer,44747748,450130,17397,0,53621,Marvel,Black Panther ,
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,23892323,212934,7535,0,23999,Marvel,Doctor Strange,
2018-09-17T12:48:27.000Z,-3jsfXDZLIY,Mary Poppins Returns | Official Trailer,16004951,180333,9511,0,20590,Disney,Mary Poppins Returns ,
2017-12-08T20:25:52.000Z,4-BTxXm8KSg,Maze Runner: The Death Cure | Official Final Trailer [HD] | 20th Century FOX,19120611,105343,2150,0,10310,20th Century FOX,Maze Runner: The Death Cure ,
2015-05-19T13:00:20.000Z,-44_igsZtgU,Maze Runner: The Scorch Trials | Official Trailer [HD] | 20th Century FOX,12042866,75892,1424,0,7057,20th Century FOX,Maze Runner: The Scorch Trials ,
2014-09-18T06:27:27.000Z,DS7uc8OF6Rs,"Men, Women &amp; Children International TRAILER (2014) - Ansel Elgort, Jason Reitman Movie HD",1941623,13931,205,0,493,Paramount,"Men, Women & Children",
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,8141416,20197,1418,0,1201,20th Century FOX,Mike and Dave Need Wedding Dates ,
2016-03-15T12:59:57.000Z,tV_IhWE4LP0,Miss Peregrine&#39;s Home for Peculiar Children | Official Trailer [HD] | 20th Century FOX,15204277,90333,2931,0,11174,20th Century FOX,Miss Peregrine&#39;s Home for Peculiar Children ,
2018-02-05T00:16:37.000Z,wb49-oV0F78,Mission: Impossible - Fallout (2018) - Official Trailer - Paramount Pictures,35531508,306422,7642,0,24017,Paramount,Mission: Impossible - Fallout ,
2015-03-23T15:19:26.000Z,pXwaKB7YOjw,"Mission: Impossible - Rogue Nation Official Trailer #1 (2015) - Tom Cruise, Simon Pegg Spy Movie HD",10949443,23925,896,0,1426,Paramount,Mission: Impossible - Rogue Nation,
2016-09-15T12:47:05.000Z,LKFuXETZUsI,Moana Official Trailer,36157709,151888,8480,0,12905,Disney,Moana,
2016-06-01T16:21:22.000Z,wQGawWqJdfs,"Monster Trucks Official Trailer #1 (2017) - Lucas Till, Jane Levy Movie HD",4434661,21212,3145,0,2752,Paramount,Monster Trucks ,
2012-06-20T07:06:43.000Z,sED6FRXIHJc,Monsters University Teaser - Pony,6449152,23919,1087,0,3338,Disney,Monsters University,
2016-08-11T15:00:01.000Z,9NJj12tJzqc,Moonlight | Official Trailer HD | A24,16100744,54012,5801,0,6959,A24,Moonlight,
2016-06-27T12:59:40.000Z,rqmHSR0bFU8,Morgan | Official Trailer [HD] | 20th Century FOX,6325086,13112,1459,0,2104,20th Century FOX,Morgan ,
2017-08-08T04:02:11.000Z,XpICoc65uh0,mother! movie (2017) - official trailer - paramount pictures,17062412,44318,6292,0,9719,Paramount,mother!  (2017) ,
2017-06-01T13:00:34.000Z,Mq4m3yAoW8E,Murder on the Orient Express | Official Trailer [HD] | 20th Century FOX,12997766,73365,5136,0,8637,20th Century FOX,Murder on the Orient Express ,
2014-06-27T00:27:45.000Z,fdu10cX3pWA,NOAH - Official Trailer (HD),3511873,25137,2147,0,2167,Paramount,NOAH,
2018-06-18T13:21:20.000Z,MoCG5aWtlPU,"NOBODY&#39;S FOOL Official Trailer (2018) Tyler Perry, Tiffany Haddish Comedy Movie HD",1271052,15138,420,0,650,Paramount,NOBODY's FOOL ,
2017-12-19T12:00:02.000Z,MFWF9dU5Zc0,OCEAN&#39;S 8 - Official 1st Trailer,19374446,132875,64708,0,37973,Warner Bros,OCEAN'S 8,
2018-07-18T12:59:34.000Z,USPd0vX2sdc,OVERLORD (2018)- Official Trailer - Paramount Pictures,14087380,52626,4882,0,11699,Paramount,PADDINGTON 2,
2017-10-03T07:57:49.000Z,52x5HJ9H8DM,PADDINGTON 2 - Official Film Trailer (International),5043918,12106,1045,0,695,Warner Bros,Paranormal Activity: The Ghost Dimension ,
2015-03-19T13:57:43.000Z,rFGiHm5WMLk,Paper Towns | Official Trailer [HD] | 20th Century FOX,23686829,224563,3748,0,11573,20th Century FOX,Paper Towns ,
2015-06-24T07:22:02.000Z,zR2cc1BwdmI,Paranormal Activity: The Ghost Dimension Official Trailer #1 (2015) - Horror Movie HD,3773090,18039,1422,0,1676,Paramount,Paranormal Activity: The Ghost Dimension ,
2016-06-14T16:00:02.000Z,fPOamb6d_20,Pete&#39;s Dragon - Official US Trailer,10821849,34642,2603,0,4380,Disney,Pete's Dragon,
2010-12-13T16:33:42.000Z,t5AqJww06bw,Pirates of The Caribbean 4 Official Trailer,6896620,20460,554,0,4495,Disney,Pirates of The Caribbean 4,
