publish_time,video_ID,Title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,ProductionFirm,Movie,Ticker
2016-07-28T12:59:49.000Z,s2-1hz1juBI,Hacksaw Ridge (2016) Official Trailer ‚Äì ‚ÄúBelieve‚Äù - Andrew Garfield,21373491,108819,3467,0,12430,Lionsgate,Hacksaw Ridge,
2018-07-18T19:38:02.000Z,HvPmJQiDr_Y,I Still See You Trailer #1 (2018) | Movieclips Trailers,1988334,13629,1171,0,1011,Lionsgate,I Still See You,
2017-07-20T15:50:00.000Z,vPP6aIw1vgY,Jigsaw (2017 Movie) Official Trailer,17985894,82217,5575,0,10449,Lionsgate,Jigsaw,
2016-10-08T19:15:30.000Z,XGk2EfbD_Ps,John Wick: Chapter 2 Official Trailer #1 (2017) Keanu Reeves Action Movie HD,18633272,82473,1856,0,6882,Lionsgate,John Wick: Chapter 2,
2018-04-26T21:50:16.000Z,Ac5wrM2uYbk,"KIN (2018 Movie) Official Trailer - Dennis Quaid, Zo√´ Kravitz",11002082,13684,811,0,1405,Lionsgate,KIN,
2016-08-23T13:20:05.000Z,DBUXcNTjviI,La La Land (2016 Movie) Official Teaser Trailer – Audition (The Fools Who Dream),5653944,24758,850,0,1803,Lionsgate,La La Land,
2017-08-24T14:54:20.000Z,o9avByqXV7E,Last Flag Flying Trailer #1 (2017) | Movieclips Trailers,520700,4190,179,0,268,Lionsgate,Last Flag Flying,
2015-11-05T18:00:01.000Z,3AsOdX7NcJs,"London Has Fallen Official Trailer #1 (2016) - Gerard Butler, Morgan Freeman Action Movie HD",14485783,40482,3455,0,6096,Lionsgate,London Has Fallen,
2016-06-23T17:22:34.000Z,G-P3f_wDXvs,"Mechanic: Resurrection Official Trailer #1 (2016) - Jason Statham, Jessica Alba Movie HD",10382755,34574,1275,0,1717,Lionsgate,Mechanic: Resurrection,
2016-06-16T19:21:35.000Z,XQtjPUyS6ZY,Middle School: The Worst Years of My Life Official Trailer #1 (2016) - Lauren Graham Movie HD,5359281,37642,1732,0,2783,Lionsgate,Middle School: The Worst Years of My Life,
2017-06-28T23:55:33.000Z,kIv_ConaZ1c,"My Little Pony: The Movie (2017) Official Trailer ‚Äì Emily Blunt, Sia, Zoe Saldana ‚Äì In Theaters 10/6",4891323,23108,4595,0,8456,Lionsgate,My Little Pony: The Movie,
2016-05-11T16:00:09.000Z,2PR9MOPTI7g,Nerve (2016 Movie) - Official Trailer ‚Äì ‚ÄòWatcher or Player?‚Äô,9289269,37504,1402,0,3773,Lionsgate,Nerve,
2016-03-16T14:44:56.000Z,4I8rVcSQbic,"Now You See Me 2 Official Trailer #1 (2016) - Mark Ruffalo, Lizzy Caplan Movie HD",9926723,52379,1316,0,2939,Lionsgate,Now You See Me 2 ,
2016-07-21T14:00:01.000Z,BJ6IPQ2lTeQ,Operation Avalanche (2016 Movie) - Official Trailer,1136347,2843,331,0,843,Lionsgate,Operation Avalanche,
2016-11-14T14:54:29.000Z,KJXqh2rDehg,"Patriots Day Official Trailer #1 (2017) Mark Wahlberg, Kevin Bacon Drama Movie HD",5815239,13116,3960,0,3271,Lionsgate,Patriots Day,
2016-10-08T14:20:16.000Z,Q-C4qqsgs8w,Power Rangers (2017 Movie) Official Teaser Trailer ‚Äì ‚ÄòDiscover The Power‚Äô,26745726,172410,14647,0,26893,Lionsgate,Power Rangers,
2018-07-17T15:45:37.000Z,zwPn9ZnbCo0,"Robin Hood (2018 Movie) Official Trailer ‚Äì Taron Egerton, Jamie Foxx, Jamie Dornan",14860977,53679,4621,0,5578,Lionsgate,Robin Hood,
2016-10-06T17:21:17.000Z,7BcG14OSB-k,"Rock Dog Official Trailer #1 (2017) Luke Wilson, Eddie Izzard Animated Movie HD",1958307,6910,1002,0,1308,Lionsgate,Rock Dog ,
2018-03-20T00:00:41.000Z,sIMChzE_aCo,SICARIO: DAY OF THE SOLDADO - Official Trailer (HD),14863101,36729,1882,0,4233,Lionsgate,SICARIO: DAY OF THE SOLDADO,
2017-06-22T16:24:09.000Z,XkoM5r9LR14,Stronger Official Trailer #1 (2017) Jake Gyllenhaal Biography Movie HD,2519572,20868,603,0,1201,Lionsgate,Stronger,
2015-10-01T16:00:56.000Z,nWPM1jTnuuo,The Choice (Nicholas Sparks 2016 Movie) ‚Äì Official Teaser Trailer,10551721,31901,1373,0,2039,Lionsgate,The Choice,
2017-09-13T12:58:53.000Z,aDshY43Ol2U,"The Commuter (2018 Movie) Official Teaser Trailer - Liam Neeson, Vera Farmiga",8799110,15875,755,0,1568,Lionsgate,The Commuter,
2015-11-13T22:10:37.000Z,0G0C-vMHcQY,The Divergent Series: Allegiant Official Trailer ‚Äì ‚ÄúThe Truth Lies Beyond‚Äù,8506010,34638,1682,0,4806,Lionsgate,The Divergent Series: Allegiant,
2017-05-18T22:24:13.000Z,bdNiNhSeSDk,The Glass Castle Trailer #1 (2017) | Movieclips Trailers,2006745,12337,404,0,808,Lionsgate,The Glass Castle,
2016-01-18T18:33:20.000Z,vKCFkFaIwU0,"The Perfect Match Official Trailer #1 (2016) - Donald Faison, Paula Patton Movie HD",7071331,26625,2443,0,1111,Lionsgate,The Perfect Match,
2018-05-10T18:49:56.000Z,CXkUaaVrB_s,"The Spy Who Dumped Me (2018 Movie) Official Trailer - Mila Kunis, Kate McKinnon, Sam Heughan",9673271,21013,1147,0,1182,Lionsgate,The Spy Who Dumped Me,
