publish_time,video_ID,Title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
2014-02-05T18:33:01.000Z,uYXxqwk7EMY,Planes: Fire &amp; Rescue Official Trailer #2 (2014) - Disney Sequel HD,136976,745,310,0,206
2013-12-04T19:06:05.000Z,nqYPKMihYPE,Tinkerbell And The Pirate Fairy Official UK Trailer (2014) - Tom Hiddleston Movie HD,703382,1376,89,0,134
2013-11-16T00:58:58.000Z,xbqNb2PFKKA,"The Incredible Hulk (2008) Official Trailer - Edward Norton, Liv Tyler Movie HD",4811510,12219,903,0,1159
2013-09-26T18:32:25.000Z,TbQm5doF_Uc,Disney&#39;s Frozen Official Trailer,35518523,58892,9164,0,7633
2013-05-28T17:23:48.000Z,YRjztG65XgI,Planes Official Trailer #1 (2013) - Dane Cook Disney Animated Movie HD,897045,1858,520,0,538
2013-04-12T20:25:18.000Z,BoohRoVA9WQ,Iron Man 2 Official Trailer #1 (2010) - Marvel Movie HD,1385019,6286,234,0,371
2013-02-11T16:20:50.000Z,QxrQ6BaijAY,Monsters University NEW Trailer (2013) - Pixar Movie HD,3551166,9572,748,0,1286
2012-07-19T23:03:38.000Z,UpFv8M2HdQ4,SECRET OF THE WINGS - Trailer,2743385,2711,617,0,277
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,245921,1485,57,0,135
2012-06-06T19:29:50.000Z,vf4r5q8-aWo,Wreck-It Ralph Official Trailer #1 (2012) Disney Animated Movie HD,2710483,8750,444,0,2031
2012-04-24T16:43:34.000Z,6CKcqIahedc,Brave Official Trailer #3 (2012) Pixar Movie HD,725513,2466,109,0,225
2011-05-12T00:09:39.000Z,lg5hj2c5Nkk,Cars 2 - Theatrical Trailer,10608090,5792,1910,0,350
2010-12-09T15:28:37.000Z,JOddp-nlNvQ,Thor - Trailer (OFFICIAL),24765955,57154,2324,0,13157
2010-11-22T22:08:06.000Z,yBFUAW6jC_M,MARS NEEDS MOMS Trailer #1,1063675,2138,597,0,244
2010-11-09T02:08:48.000Z,QbFz--GCkOM,Winnie the Pooh Official Trailer,3303444,14724,448,0,2919
2010-09-15T22:49:43.000Z,JYKpIr1lSG0,Tangled - Official Trailer 2,3091643,3904,467,0,146
2009-12-25T07:08:13.000Z,HHhtFIF9VSg,TinkerBell and The Great Fairy Rescue - Official Trailer #1,385203,192,41,0,31
2009-12-07T23:43:44.000Z,8hYlB38asDY,Iron Man - Trailer [HD],3963742,21010,478,0,3201
2009-10-13T22:26:06.000Z,JcpWXaA2qeg,Toy Story 3: Trailer,9989582,12832,2140,0,615
